theta1,theta2,omega1,omega2,alpha1,alpha2
0.3067042906681201,1.3520746650524709,0.4110535042865755,0.17953273198758746,-0.6240041570318862,-9.448038211051275
0.31479475896092385,1.3537803860167517,0.39774584597319695,-0.008738770315646183,-0.6982594524938264,-9.381464147160363
0.3226076062460838,1.3517330357587738,0.3834595824551124,-0.1958229601710172,-0.7220489625280606,-9.329469206816945
0.3301332775354481,1.3459533757305522,0.36919250535017767,-0.38202194923515065,-0.6965490526550223,-9.293143205422709
0.3373819283665614,1.3364558940424653,0.3559173437037853,-0.5676615351873204,-0.6230953902318153,-9.273748515196262
0.3443828888126399,1.3232483039464518,0.344578115075453,-0.7530936341088554,-0.5032354858096395,-9.27261589972591
0.3511840412465883,1.3063310157917194,0.33608499756524124,-0.9386964156302806,-0.33882694422405163,-9.29101478218628
0.3578510718373275,1.2856966353931298,0.3313066057390194,-1.1248713354410682,-0.13220333500257295,-9.329966176858356
0.3644665283025894,1.2613295652670704,0.33105800106516375,-1.3120354605328397,0.11355809196963587,-9.389948931713546
0.37112857508170066,1.2332058287386505,0.3360819075459947,-1.5006062489125254,0.3942138075211378,-9.470423511659385
0.37794927422510677,1.2012933111923485,0.34701928371731294,-1.6909740663837427,0.7036960078113809,-9.569058860084166
0.38505212489492874,1.1655527332869764,0.3643634361831972,-1.8834549258527598,1.0331016226295486,-9.680494676979789
0.392568451721599,1.125939858952507,0.38838908370137054,-2.0782119527400633,1.3691683500331253,-9.794407917168416
0.4006320260304772,1.082409721100873,0.4190442476619958,-2.2751288967497914,1.6920499467858678,-9.892602636253212
0.4093710248709582,1.0349240377091875,0.4557893358129195,-2.4736135291823897,1.9722479657063616,-9.944881495994274
0.4188961033118165,0.9834634686608141,0.4973669593677056,-2.672306354159473,2.1668129202499817,-9.903768708910563
0.4292830868370665,0.9280467927808856,0.5414945277908418,-2.8686794591677267,2.215661861834758,-9.699101415623819
0.44054888935169856,0.8687590680419164,0.5845026968974332,-3.0585493009479383,2.0404359799735845,-9.23560015089705
0.4526203635346361,0.8057895306598801,0.6210149595219235,-3.235621559283079,1.5507990442064803,-8.39989628756215
0.46529883986280224,0.7394761021500121,0.6438842881632024,-3.391347527716576,0.6649623225045925,-7.086193194229827
0.478228703427647,0.6703460412958954,0.644718696253606,-3.515531302317049,-0.6522086005558541,-5.245421793509797
0.49088489621487286,0.5991335354296465,0.6152688281210903,-3.5980579206488876,-2.3448138386832365,-2.943295086932377
0.5025959824094083,0.5267524868739346,0.5495105648513202,-3.6315335175791006,-4.247333432138066,-0.38474962848842154
0.5126090469325938,0.4542162687745962,0.44555535972714944,-3.6136972213666034,-6.123323277502263,2.1371447117231384
0.5201812963831973,0.38252440808785554,0.30625710158441005,-3.5481166220519254,-7.750323017789137,4.352637029386923
0.5246664513536107,0.3125580221304586,0.13812029029000195,-3.4426704293007155,-8.994061403152031,6.110764719821165
